,,Rating,,,,Rating,,,,Rating,,,,Rating,,,,Rating
Team,UAE Team Emirates - XRG,30,,Team,Alpecin - Premier Tech,20,,Team,Bahrain - Victorious,20,,Team,Decathlon CMA CGM Team,20,,Team,Caja Rural - Seguros RGA,10
1,POGACAR Tadej,120,,1,PHILIPSEN Jasper,60,,1,TIBERI Antonio,30,,1,SEIXAS Paul,70,,1,MOLENAAR Alex,10
2,DEL TORO Isaac,100,,2,VAN DER POEL Mathieu,70,,2,MARTINEZ Lenny,30,,2,KOOIJ Olav,20,,2,NICOLAU Joel,10
3,WELLENS Tim,10,,3,VERSTRYNGE Emiel,10,,3,MOHORIC Matej,10,,3,RICCITELLO Matthew,10,,3,BALDERSTONE Abel,10
4,MCNULTY Brandon,20,,4,RICKAERT Jonas,10,,4,BAUHAUS Phil,10,,4,BENOOT Tiesj,10,,4,BERWICK Sebastian,10
5,YATES Adam,50,,5,MARSMAN Tim,10,,5,CARUSO Damiano,10,,5,HOOLE Daan,10,,5,GAVIRIA Fernando,10
6,VERMEERSCH Florian,10,,6,DEBRUYNE Ramses,10,,6,GRADEK Kamil,10,,6,PRODHOMME Nicolas,10,,6,OLDANI Stefano,10
7,POLITT Nils,10,,7,PLANCKAERT Edward,10,,7,STANNARD Robert,10,,7,PARET-PEINTRE Aurelien,10,,7,OTRUBA Jakub,10
8,GROssSCHARTNER Felix,10,,8,DILLIER Silvan,10,,8,VAN MECHELEN Vlad,10,,8,BOL Cees,10,,8,PARRA Jose Felix,10
,,,,,,,,,,,,,,,,,,
Team,Team Jayco AlUla,10,,Team,Movistar Team,20,,Team,XDS Astana Team,10,,Team,EF Education - EasyPost,10,,Team,Netcompany INEOS,20
1,MATTHEWS Michael,20,,1,UIJTDEBROEKS Cian,40,,1,TEUNISSEN Mike,10,,1,HEALY Ben,30,,1,GANNA Filippo,20
2,PLAPP Luke,10,,2,GARCIA PIERNA Raul,10,,2,HIGUITA Sergio,20,,2,ASGREEN Kasper,10,,2,KWIATKOWSKI Michal,10
3,ACKERMANN Pascal,10,,3,CASTRILLO Pablo,10,,3,TEJADA Harold,20,,3,CARAPAZ Richard,40,,3,VAUQUELIN Kevin,20
4,O'CONNOR Ben,30,,4,RUBIO Einer,10,,4,KANTER Max,10,,4,BAUDIN Alex,10,,4,GODON Dorian,30
5,SCHMID Mauro,10,,5,ROMO Javier,10,,5,VINOKUROV Nicolas,10,,5,QUINN Sean,10,,5,ARENSMAN Thymen,20
6,O'BRIEN Kelland,10,,6,OLIVEIRA Nelson,10,,6,BALLERINI Davide,10,,6,STEINHAUSER Georg,10,,6,TARLING Joshua,10
7,ENGELHARDT Felix,10,,7,CEPEDA Jefferson Alveiro,10,,7,GATE Aaron,10,,7,WALKER Max,10,,7,FOSS Tobias,10
8,DURBRIDGE Luke,10,,8,HESSMANN Michel,10,,8,VELASCO Simone,10,,8,VALGREN Michael,10,,8,BERNAL Egan,30
,,,,,,,,,,,,,,,,,,
Team,Team Picnic PostNL,10,,Team,NSN Cycling Team,10,,Team,Cofidis,10,,Team,Groupama - FDJ United,10,,Team,Pinarello Q36.5 Pro Cycling,10
1,BITTNER Pavel,20,,1,GIRMAY Biniam,40,,1,ALLEGAERT Piet,10,,1,MARTIN Guillaume,20,,1,PIDCOCK Tom,60
2,BARGUIL Warren,10,,2,STEWART Jake,10,,2,BIERMANS Jenthe,10,,2,GREGOIRE Romain,20,,2,WRIGHT Fred,10
3,VAN DEN BROEK Frank,10,,3,ASKEY Lewis,10,,3,FRETIN Milan,10,,3,BERTHET Clement,10,,3,HERMANS Quinten,10
4,DHONDT Robbe,10,,4,NEILANDS Krists,10,,4,KIRSCH Alex,10,,4,BRAZ AFONSO Clement,10,,4,HOWSON Damien,10
5,VAN DEN BERG Julius,10,,5,FRIGO Marco,10,,5,PAGE Hugo,10,,5,GERMANI Lorenzo,10,,5,HARPER Chris,10
6,MARKL Niklas,10,,6,LOUVEL Matis,10,,6,ARANBURU Alex,10,,6,PACHER Quentin,10,,6,AZPARREN Xabier Mikel,10
7,BIESTERBOS Frits,10,,7,BENNETT George,10,,7,THOMAS Benjamin,10,,7,RUSSO Clement,10,,7,MEURISSE Xandro,10
8,DEGENKOLB John,10,,8,VAN ASBROECK Tom,10,,8,IZAGIRRE Ion,10,,8,COSTIOU Ewen,10,,8,VAN MOER Brent,10
,,,,,,,,,,,,,,,,,,
Team,Team Visma | Lease a Bike,30,,Team,Red Bull - BORA -hansgrohe,30,,Team,Tudor Pro Cycling Team,10,,Team,Lidl - Trek,20,,Team,,
1,CAMPENAERTS Victor,10,,1,VAN DIJKE Tim,10,,1,ALAPHILIPPE Julian,10,,1,AYUSO Juan,40,,1,,
2,AFFINI Edoardo,10,,2,EVENEPOEL Remco,100,,2,TRENTIN Matteo,10,,2,PEDERSEN Mads,60,,2,,
3,HAGENES Per Strand,10,,3,DENZ Nico,10,,3,STORER Michael,10,,3,VACEK Mathias,10,,3,,
4,JORGENSON Matteo,50,,4,LIPOWITZ Florian,100,,4,PLUIMERS Rick,10,,4,SKJELMOSE Mattias,20,,4,,
5,KUSS Sepp,30,,5,CATTANEO Mattia,10,,5,DE KLEIJN Arvid,10,,5,SIMMONS Quinn,10,,5,,
6,ARMIRAIL Bruno,10,,6,TRATNIK Jan,10,,6,HALLER Marco,10,,6,GEE-WEST Derek,10,,6,,
7,PIGANZOLI Davide,10,,7,VAN GILS Maxim,10,,7,HIRSCHI Marc,10,,7,VERONA Carlos,10,,7,,
8,VINGEGAARD Jonas,120,,8,HINDLEY Jai,30,,8,VOISARD Yannis,10,,8,SKUJINS Toms,10,,8,,
,,,,,,,,,,,,,,,,,,
Team,Uno-X Mobility,10,,Team,Soudal Quick-Step,20,,Team,TotalEnergies,10,,Team,Lotto Intermarché,10,,Team,,
1,CORT Magnus,10,,1,PARET-PEINTRE Valentin,20,,1,JEGAT Jordan,10,,1,DE LIE Arnaud,10,,1,,
2,JOHANNESSEN Tobias Halland,30,,2,MERLIER Tim,60,,2,DELETTRE Alexandre,10,,2,VAN EETVELT Lennert,10,,2,,
3,SKAARSETH Anders,10,,3,EENKHOORN Pascal,10,,3,TURGIS Anthony,10,,3,ZIMMERMANN Georg,10,,3,,
4,WAERENSKJOLD Soren,10,,4,STUYVEN Jasper,10,,4,VERCHER Matteo,10,,4,ARTZ Huub,10,,4,,
5,CHARMIG Anthon,10,,5,VAN BAARLE Dylan,10,,5,LE BERRE Mathis,10,,5,BERCKMOES Jenno,10,,5,,
6,ABRAHAMSEN Jonas,10,,6,VAN LERBERGHE Bert,10,,6,BREUILLARD Nicolas,10,,6,SLOCK Liam,10,,6,,
7,TRAEEN Torstein,10,,7,VAN WILDER Ilan,10,,7,DELBOVE Joris,10,,7,CRAPS Lars,10,,7,,
8,JOHANNESSEN Anders Halland,10,,8,VERVAEKE Louis,10,,8,GUERNALEC Thibault,10,,8,VEISTROFFER Baptiste,10,,8,,